Date,Ticker,Open,High,Low,Close,Change
2/28/1966,CMSIGBW,111.489,111.489,111.489,111.489,0.000977675
3/31/1966,CMSIGBW,111.598,111.598,111.598,111.598,0.00024194
4/30/1966,CMSIGBW,111.625,111.625,111.625,111.625,0.000367301
5/31/1966,CMSIGBW,111.666,111.666,111.666,111.666,0.002588075
6/30/1966,CMSIGBW,111.955,111.955,111.955,111.955,-0.006654459
7/31/1966,CMSIGBW,111.21,111.21,111.21,111.21,0.008227677
8/31/1966,CMSIGBW,112.125,112.125,112.125,112.125,0
9/30/1966,CMSIGBW,112.125,112.125,112.125,112.125,-0.00251505
10/31/1966,CMSIGBW,111.843,111.843,111.843,111.843,0.000286115
11/30/1966,CMSIGBW,111.875,111.875,111.875,111.875,0.000822346
12/31/1966,CMSIGBW,111.967,111.967,111.967,111.967,-0.000821671
1/31/1967,CMSIGBW,111.875,111.875,111.875,111.875,-0.001117318
2/28/1967,CMSIGBW,111.75,111.75,111.75,111.75,-0.000689038
3/31/1967,CMSIGBW,111.673,111.673,111.673,111.673,-0.001155158
4/30/1967,CMSIGBW,111.544,111.544,111.544,111.544,0.064548519
5/31/1967,CMSIGBW,118.744,118.744,118.744,118.744,0.22350603
6/30/1967,CMSIGBW,145.284,145.284,145.284,145.284,0.038441948
7/31/1967,CMSIGBW,150.869,150.869,150.869,150.869,0.002903181
8/31/1967,CMSIGBW,151.307,151.307,151.307,151.307,-0.035860866
9/30/1967,CMSIGBW,145.881,145.881,145.881,145.881,0.058773932
10/31/1967,CMSIGBW,154.455,154.455,154.455,154.455,0.233679713
11/30/1967,CMSIGBW,190.548,190.548,190.548,190.548,0.098631316
12/31/1967,CMSIGBW,209.342,209.342,209.342,209.342,-0.004404276
1/31/1968,CMSIGBW,208.42,208.42,208.42,208.42,-0.04576816
2/29/1968,CMSIGBW,198.881,198.881,198.881,198.881,0.131581197
3/31/1968,CMSIGBW,225.05,225.05,225.05,225.05,0.001381915
4/30/1968,CMSIGBW,225.361,225.361,225.361,225.361,0.076437361
5/31/1968,CMSIGBW,242.587,242.587,242.587,242.587,0.028060036
6/30/1968,CMSIGBW,249.394,249.394,249.394,249.394,-0.050831215
7/31/1968,CMSIGBW,236.717,236.717,236.717,236.717,-0.063227398
8/31/1968,CMSIGBW,221.75,221.75,221.75,221.75,0.008680947
9/30/1968,CMSIGBW,223.675,223.675,223.675,223.675,-0.107303007
10/31/1968,CMSIGBW,199.674,199.674,199.674,199.674,0.01957691
11/30/1968,CMSIGBW,203.583,203.583,203.583,203.583,-0.021283702
12/31/1968,CMSIGBW,199.25,199.25,199.25,199.25,0.008838143
1/31/1969,CMSIGBW,201.011,201.011,201.011,201.011,-0.159374363
2/28/1969,CMSIGBW,168.975,168.975,168.975,168.975,0.094132268
3/31/1969,CMSIGBW,184.881,184.881,184.881,184.881,-0.023626008
4/30/1969,CMSIGBW,180.513,180.513,180.513,180.513,-0.010819165
5/31/1969,CMSIGBW,178.56,178.56,178.56,178.56,-0.067937948
6/30/1969,CMSIGBW,166.429,166.429,166.429,166.429,-0.014985369
7/31/1969,CMSIGBW,163.935,163.935,163.935,163.935,0.017970537
8/31/1969,CMSIGBW,166.881,166.881,166.881,166.881,0.078115543
9/30/1969,CMSIGBW,179.917,179.917,179.917,179.917,0.038278762
10/31/1969,CMSIGBW,186.804,186.804,186.804,186.804,0.032499304
11/30/1969,CMSIGBW,192.875,192.875,192.875,192.875,-0.064098509
12/31/1969,CMSIGBW,180.512,180.512,180.512,180.512,0.029743175
1/31/1970,CMSIGBW,185.881,185.881,185.881,185.881,0.015703595
2/28/1970,CMSIGBW,188.8,188.8,188.8,188.8,-0.006488347
3/31/1970,CMSIGBW,187.575,187.575,187.575,187.575,-0.01784886
4/30/1970,CMSIGBW,184.227,184.227,184.227,184.227,-0.089102032
5/31/1970,CMSIGBW,167.812,167.812,167.812,167.812,-0.021971015
6/30/1970,CMSIGBW,164.125,164.125,164.125,164.125,0.02834425
7/31/1970,CMSIGBW,168.777,168.777,168.777,168.777,0.067681023
8/31/1970,CMSIGBW,180.2,180.2,180.2,180.2,0.007719201
